name,is_male,is_female,is_surname
Aleksandra,False,True,False
Aleksandras,True,False,False
Aleksandre,True,False,False
Aleksandrina,False,True,False
Aleksandro,True,False,False
Aleksandrs,True,False,False
Aleksandrŭ,True,False,False
Aleksanteri,True,False,False
Aleksei,True,False,False
Aleksej,True,False,False
Aleksejs,True,False,False
Aleksey,True,False,False
Aleksi,True,False,False
Alekss,True,False,False
Aleksy,True,False,False
Alekto,False,True,False
Alem,True,False,False
Alemayehu,True,True,False
Alen,True,False,False
Alena,False,True,False
Alene,False,True,False
Alenka,False,True,False
Aleš,True,False,False
Alesander,True,False,False
Alesha,False,True,False
Alesia,False,True,False
Alessa,False,True,False
Alessandra,False,True,False
Alessandro,True,False,False
Alessia,False,True,False
Alessio,True,False,False
Alesya,False,True,False
Aleta,False,True,False
Aletha,False,True,False
Alethea,False,True,False
Alevtina,False,True,False
Álex,True,False,False
Àlex,True,False,False
Alex,True,True,False
Alexa,False,True,False
Alexander,True,False,False
Alexandr,True,False,False
Alexandra,False,True,False
Alexandre,True,False,False
Alexandrea,False,True,False
Alexandria,False,True,False
Alexandrie,False,True,False
Alexandrina,False,True,False
Alexandrine,False,True,False
Alexandros,True,False,False
Alexandru,True,False,False
Alexei,True,False,False
Alexej,True,False,False
Alexey,True,False,False
Alèxia,False,True,False
Alexia,False,True,False
Alexina,False,True,False
Alexios,True,False,False
Alexis,True,True,False
Alexius,True,False,False
Alexsandr,True,False,False
Alexus,False,True,False
Aleyda,False,True,False
Aleyna,False,True,False
Alf,True,False,False
Alfarr,True,False,False
Alfbern,True,False,False
Alfeo,True,False,False
Alfhard,True,False,False
Alfher,True,False,False
Alfhild,False,True,False
Alfhildr,False,True,False
Alfia,False,True,False
Alfie,True,False,False
Alfio,True,False,False
Alfiya,False,True,False
Alfons,True,False,False
Alfonsa,False,True,False
Alfonsas,True,False,False
Alfonsina,False,True,False
Alfonso,True,False,False
Alfonz,True,False,False
Alfr,True,False,False
Alfréd,True,False,False
Alfred,True,False,False
Alfreda,False,True,False
Alfredas,True,False,False
Alfredo,True,False,False
Alfrēds,True,False,False
Alfríkr,True,False,False
Alfvin,True,False,False
Alfwin,True,False,False
Algar,True,False,False
Algautr,True,False,False
Alger,True,False,False
Algernon,True,False,False
Algimantas,True,False,False
Algirdas,True,False,False
Algis,True,False,False
Algot,True,False,False
Alhaji,True,False,False
Al-Hasan,True,False,False
Alhassan,True,False,False
Alheri,False,True,False
'Ali,True,False,False
Əli,True,False,False
Ali,True,True,False
Alia,False,True,False
Aliah,False,True,False
Aliaksandr,True,False,False
Aliaksandra,False,True,False
Aliaksei,True,False,False
Ali Asaf,True,False,False
Alibrand,True,False,False
Alica,False,True,False
Alice,False,True,False
Alícia,False,True,False
Alicia,False,True,False
Alicja,False,True,False
Alida,False,True,False
Aliénor,False,True,False
Alienòr,False,True,False
Aliisa,False,True,False
Alija,True,False,False
Alijah,True,False,False
Alik,True,False,False
Alikhan,True,False,False
Aliki,False,True,False
Alim,True,False,False
Alimjan,True,False,False
Alin,True,False,False
Alīna,False,True,False
Alina,False,True,False
Alinafe,True,True,False
Aline,False,True,False
Alinur,True,False,False
Aliona,False,True,False
Alireza,True,False,False
Alis,False,True,False
Alisa,False,True,False
Alise,False,True,False
Alisha,False,True,False
Alisher,True,False,False
Alishia,False,True,False
Alisia,False,True,False
Alison,True,True,False
Alissa,False,True,False
Alisson,True,False,False
Alistair,True,False,False
Alister,True,False,False
Alisya,False,True,False
Alita,False,True,False
Alivia,False,True,False
Alix,True,True,False
Aliya,False,True,False
Aliyə,False,True,False
Aliyah,False,True,False
Aliye,False,True,False
Aliyu,True,False,False
Aliyya,False,True,False
